title,lastrevid
Anton von Winzor,1231556425
Antonis Fosteridis,1226111002
Aníbal Portillo,1114960545
Baba Medan Konya,919549108
Baxtiyor Rahimov,1248651514
Binalf Andualem,1240260904
Bonifacio Pinedo,1249373475
Buenaventura Carlos Aribau,1241430575
Charles Ayume,1246242863
César González Martínez,1218574777
Dancilla Nyirarugero,1168220939
Diotisalvi Neroni,1241401796
Florian Stablewski,1145554330
François Nicéphore Kakese,1053664863
Helen Sauls-August,1244192570
Isaac Kwallu,1246139130
Jabulani Dube,1084850581
Jaroslav Chalupský,1117846787
Jorge Cauas,1216583569
Joseph Romain-Desfossés,1144306675
José Benito Monterroso,1225811185
Juan Manuel de la Peña Bonifaz,1249716627
Liudvikas Narcizas Rasimavičius,1193909976
"Louis Phélypeaux, comte de Saint-Florentin",1174304784
Lương Thế Huy,1247377913
Marie Koré,1230836674
Maxim Bakiyev,1223543314
Miranda Vuolasranta,1147171503
Mohammad Manjur Alam,1245377984
Mohammed Waheed Deen,1241974843
Mounir Baatour,1247446269
Musa Faidi al-Alami,1243507861
Myo Yan Naung Thein,1169934161
Nalini Gupta,1238540411
Neritan Ceka,1184807608
Nils Mustelin,1234849765
Paul Fugger von Kirchberg und Weißenhorn,1226181306
Pierre Bou Assi,1248727867
Ralijaona Laingo,1177650498
Roy Fredericks,1225354614
Samuel Kawale,1201222030
Sao Kya Seng,1250357483
Stanko Mladenovski,1173912535
Tatsuo Ozawa,1249907119
Uda Sulai,1249150239
Wei Wenhui,1213106474
Yagya Raj Joshi,1240516482
Yevgeny Miller,1248317099
Abdikarim Dhaaye,1177315930
Abdul Rahim Ayoubi,1226326055
Abner Nuule,1188297660
Adalberto Costa Júnior,1244123151
Adrian Neritani,1196135017
Alexandr Nesterovschi,1232773245
Alonso III Fonseca,1249363363
Amin Farhan Jejo,1209072211
Azli Yusof,1247236590
Bakhodir Khan Turkistan,1192709223
Bengt Snivil,1249342849
Bernard Muna,1108720863
Bishnu Pratap Shah,1230592998
Bukhori Ghazali,1244373350
Chelule Liza,1246061231
Fran Barac,1211290682
Gajraj Mishra,1162142104
Gejza Josipović,1242195010
Hanna Atik,1234053602
Hao Hongjun,1182205038
Ivo Pilar,1195042286
Jacob Aligo,1178261933
José Batres Montúfar,1222957267
Julio Pinedo,1250888240
Karim Kamalov,1247703243
Krishna Devi Shivshanker,1232095602
Kōki Kobayashi,1186829134
Lakho Phulani,1243484978
Lecca (singer),1227861844
M'hamed Boucetta,1243831971
Manuel Francisco Pavón Aycinena,1235527107
Mario Radić (politician),1248279415
Michael C. Latham,1174105516
Michael Kawalya Kagwa,1248672131
Mohamed Ag Intalla,1223857980
Nicola Squitti,1241078027
Niklaus Dachselhofer,1244058682
Noureddine Bahbouh,1099284595
Oumar Ba,1177650193
Pedro Joaquín Chamorro Barrios,1235600173
Raffaello Giovagnoli,1167879958
Romi Herton,1223610630
Sayuri Uenishi,1235907071
